-1.80 0.00 0.00
-1.60 0.00 0.00
-1.40 0.00 0.00
-1.20 0.00 0.00
-1.00 0.00 0.00
-0.80 0.00 0.00
-0.60 0.00 0.00
-0.40 0.00 0.00
-0.20 0.00 0.00
 0.00 0.00 0.00
 0.20 0.00 0.00
 0.40 0.00 0.00
 0.60 0.00 0.00
 0.80 0.00 0.00
 1.00 0.00 0.00
 1.20 0.00 0.00
 1.40 0.00 0.00
 1.60 0.00 0.00
 1.80 0.00 0.00
 2.00 0.00 0.00
 2.20 0.00 0.00
 2.40 0.00 0.00
 2.60 0.00 0.00
 2.80 0.00 0.00
 3.00 0.00 0.00
 3.20 0.00 0.00
 3.40 0.00 0.00
 3.60 0.00 0.00
 3.80 0.00 0.00
 4.00 0.00 0.00
 4.20 0.00 0.00
 4.40 0.00 0.00
 4.60 0.00 0.00
 4.80 0.00 0.00
 5.00 0.00 0.00
 5.20 0.00 0.00
 5.40 0.00 0.00
 5.60 0.00 0.00
 5.80 0.00 0.00
 6.00 0.00 0.00
 6.20 0.00 0.00
 6.40 0.00 0.00
 6.60 0.00 0.00
 6.80 0.00 0.00
 7.00 0.00 0.00
 7.20 0.00 0.00
 7.40 0.00 0.00
 7.60 0.00 0.00
 7.80 0.00 0.00
 8.00 0.00 0.00
 8.20 0.00 0.00
 8.40 0.00 0.00
 8.60 0.00 0.00
 8.80 0.00 0.00
 9.00 0.00 0.00
 9.20 0.00 0.00
 9.40 0.00 0.00
 9.60 0.00 0.00
 9.80 0.00 0.00
10.00 0.00 0.00
10.20 0.00 0.00
10.40 0.00 0.00
10.60 0.00 0.00
10.80 0.00 0.00
11.00 0.00 0.00
11.20 0.00 0.00
11.40 0.00 0.00
11.60 0.00 0.00
11.80 0.00 0.00
12.00 0.00 0.00
12.20 0.00 0.00
12.40 0.00 0.00
12.60 0.00 0.00
12.80 0.00 0.00
13.00 0.00 0.00
13.20 0.00 0.00
13.40 0.00 0.00
13.60 0.00 0.00
13.80 0.00 0.00
14.00 0.00 0.00
14.20 0.00 0.00
14.40 0.00 0.00
14.60 0.00 0.00
14.80 0.00 0.00
15.00 0.00 0.00
15.20 0.01 0.00
15.40 0.01 0.00
15.60 0.01 0.00
15.80 0.01 0.00
16.00 0.01 0.00
16.20 0.01 0.00
16.40 0.01 0.00
16.60 0.01 0.00
16.80 0.01 0.00
17.00 0.01 0.00
17.20 0.01 0.00
