0.8137312478774301 [0.82912102 0.         0.         0.         0.         0.        ]
0.7961207673106748 [0.83163109 0.         0.         0.         0.         0.        ]
0.6944049831885832 [0.83734861 0.         0.         0.         0.         0.        ]
0.7524036730041032 [0.83552679 0.         0.         0.         0.         0.        ]
0.648635166744664 [0.83703955 0.         0.         0.         0.         0.        ]
0.9780069339782623 [0.61552541 0.         0.         0.         0.         0.        ]
0.6946207556941119 [0.83734693 0.         0.         0.         0.         0.        ]
0.8321083132702236 [0.82568522 0.         0.         0.         0.         0.        ]
0.6960715414790781 [0.83733479 0.         0.         0.         0.         0.        ]
0.648433015291513 [0.83703551 0.         0.         0.         0.         0.        ]
0.9254341066834931 [0.77650481 0.         0.         0.         0.         0.        ]
0.7785521737314336 [0.83354037 0.         0.         0.         0.         0.        ]
0.9346372812644618 [0.76431059 0.         0.         0.         0.         0.        ]
0.9004279952663126 [0.79893793 0.         0.         0.         0.         0.        ]
0.6968155887310994 [0.83732799 0.         0.         0.         0.         0.        ]
0.7760444975054419 [0.83377176 0.         0.         0.         0.         0.        ]
0.743124854823612 [0.83603022 0.         0.         0.         0.         0.        ]
0.7295539882523557 [0.83660585 0.         0.         0.         0.         0.        ]
0.645825565721845 [0.83698147 0.         0.         0.         0.         0.        ]
0.90669174433597 [0.79441149 0.         0.         0.         0.         0.        ]
0.8324346411216815 [0.8256152 0.        0.        0.        0.        0.       ]
0.9916727260716532 [0.45193736 0.         0.         0.         0.         0.        ]
0.8277535160330658 [0.82658727 0.         0.         0.         0.         0.        ]
0.9258421806436099 [0.7760204 0.        0.        0.        0.        0.       ]
0.8534889767187092 [0.82027097 0.         0.         0.         0.         0.        ]
0.7831970140699415 [0.83308608 0.         0.         0.         0.         0.        ]
0.7756979605699293 [0.83380299 0.         0.         0.         0.         0.        ]
0.7822094273878977 [0.83318554 0.         0.         0.         0.         0.        ]
0.8381937327882466 [0.82432072 0.         0.         0.         0.         0.        ]
0.6820029003512531 [0.83739213 0.         0.         0.         0.         0.        ]
0.9642904693068504 [0.68746452 0.         0.         0.         0.         0.        ]
0.6666194384156372 [0.83730989 0.         0.         0.         0.         0.        ]
0.6461326497438833 [0.83698802 0.         0.         0.         0.         0.        ]
0.985499283783419 [0.48647342 0.         0.         0.         0.         0.        ]
0.9888694497213616 [0.44509431 0.         0.         0.         0.         0.        ]
0.9999859982439693 [0.88336656 0.         0.         0.         0.         0.        ]
0.8169479402530269 [0.82858602 0.         0.         0.         0.         0.        ]
0.9610872732909891 [0.70169242 0.         0.         0.         0.         0.        ]
0.9254809937199694 [0.77644939 0.         0.         0.         0.         0.        ]
0.7956006347040738 [0.83169548 0.         0.         0.         0.         0.        ]
0.8276151826549986 [0.82661496 0.         0.         0.         0.         0.        ]
0.8694413851979238 [0.81485731 0.         0.         0.         0.         0.        ]
0.7445042074344905 [0.8359613 0.        0.        0.        0.        0.       ]
0.923280262718158 [0.77898441 0.         0.         0.         0.         0.        ]
0.9430725959643512 [0.749819 0.       0.       0.       0.       0.      ]
0.8809061491501783 [0.80997322 0.         0.         0.         0.         0.        ]
0.9379846554449636 [0.75903537 0.         0.         0.         0.         0.        ]
0.81014383827555 [0.82968792 0.         0.         0.         0.         0.        ]
0.8763010191384427 [0.81205177 0.         0.         0.         0.         0.        ]
0.7136577649194844 [0.83706458 0.         0.         0.         0.         0.        ]
0.9012404109556166 [0.79838288 0.         0.         0.         0.         0.        ]
0.863654142532986 [0.81698568 0.         0.         0.         0.         0.        ]
0.8974108013863202 [0.80092276 0.         0.         0.         0.         0.        ]
0.9196506895647282 [0.78288343 0.         0.         0.         0.         0.        ]
0.8709746244888683 [0.81425825 0.         0.         0.         0.         0.        ]
0.8798163111644987 [0.81048035 0.         0.         0.         0.         0.        ]
0.9683670673580673 [0.66905479 0.         0.         0.         0.         0.        ]
0.680773291000955 [0.83739094 0.         0.         0.         0.         0.        ]
0.870394542555559 [0.81448671 0.         0.         0.         0.         0.        ]
0.8583352188590476 [0.81877149 0.         0.         0.         0.         0.        ]
0.8443376432982708 [0.8228083 0.        0.        0.        0.        0.       ]
0.9163556655441369 [0.78614231 0.         0.         0.         0.         0.        ]
0.9981734103168302 [0.72125568 0.         0.         0.         0.         0.        ]
0.7500047737636775 [0.83566607 0.         0.         0.         0.         0.        ]
0.8355879699285587 [0.82492049 0.         0.         0.         0.         0.        ]
0.9635493766837105 [0.6908593 0.        0.        0.        0.        0.       ]
0.9943049495999691 [0.51043032 0.         0.         0.         0.         0.        ]
0.9724239322411518 [0.65315396 0.         0.         0.         0.         0.        ]
0.9566912874936061 [0.717628 0.       0.       0.       0.       0.      ]
0.694970436962263 [0.83734414 0.         0.         0.         0.         0.        ]
0.8785451080499133 [0.81105976 0.         0.         0.         0.         0.        ]
0.9931124749036377 [0.47664514 0.         0.         0.         0.         0.        ]
0.7181671719612135 [0.83695639 0.         0.         0.         0.         0.        ]
0.9639185887047543 [0.68917204 0.         0.         0.         0.         0.        ]
0.676871323112191 [0.83738083 0.         0.         0.         0.         0.        ]
0.9597012589338231 [0.70725507 0.         0.         0.         0.         0.        ]
0.8585862457749153 [0.81869061 0.         0.         0.         0.         0.        ]
0.9621069800912505 [0.69731963 0.         0.         0.         0.         0.        ]
0.9009590147372486 [0.79857616 0.         0.         0.         0.         0.        ]
0.860075922137812 [0.81820387 0.         0.         0.         0.         0.        ]
0.7059195517674722 [0.83721228 0.         0.         0.         0.         0.        ]
0.8839029844534063 [0.80852712 0.         0.         0.         0.         0.        ]
0.890436203363131 [0.80508849 0.         0.         0.         0.         0.        ]
0.7597018873000134 [0.83506164 0.         0.         0.         0.         0.        ]
0.7856951084046655 [0.83282739 0.         0.         0.         0.         0.        ]
0.8384867959032893 [0.82425176 0.         0.         0.         0.         0.        ]
0.9232936339056779 [0.77896941 0.         0.         0.         0.         0.        ]
0.8931786428593499 [0.80351653 0.         0.         0.         0.         0.        ]
0.9654146578269264 [0.68228364 0.         0.         0.         0.         0.        ]
0.7775758542637706 [0.83363159 0.         0.         0.         0.         0.        ]
0.7664568267008058 [0.83457226 0.         0.         0.         0.         0.        ]
0.7709541738964731 [0.83421289 0.         0.         0.         0.         0.        ]
0.9707003796868803 [0.6597257 0.        0.        0.        0.        0.       ]
0.8174953924933427 [0.82849236 0.         0.         0.         0.         0.        ]
0.7170038781800626 [0.83698591 0.         0.         0.         0.         0.        ]
0.7941900782476953 [0.83186751 0.         0.         0.         0.         0.        ]
0.7035453576651052 [0.83724835 0.         0.         0.         0.         0.        ]
0.9753426689682602 [0.63836957 0.         0.         0.         0.         0.        ]
0.812145662620219 [0.82937536 0.         0.         0.         0.         0.        ]
0.9237524159483802 [0.77845177 0.         0.         0.         0.         0.        ]
