     1        .000      .00008      .00008
     2        .097      .00005      .00013
     3        .197      .00028      .00041
     4        .297      .00055      .00096
     5        .397      .00056      .00152
     6        .497      .00218      .00370
     7        .597      .00191      .00561
     8        .697      .00434      .00995
     9        .797      .00429      .01424
    10        .897      .00688      .02112
    11        .997      .01300      .03412
    12       1.097      .01078      .04490
    13       1.197      .02793      .07283
    14       1.297      .03715      .10998
    15       1.397      .04480      .15478
    16       1.497      .07176      .22654
    17       1.597      .06825      .29479
    18       1.697      .05171      .34650
    19       1.797      .06187      .40837
    20       1.897      .05023      .45860
    21       1.997      .03334      .49194
    22       2.097      .02239      .51433
    23       2.197      .01483      .52916
    24       2.297      .01008      .53924
    25       2.397      .01562      .55486
    26       2.647      .00940      .56426
    27       2.897      .00518      .56944
    28       3.147      .00249      .57193
    29       3.397      .00116      .57309
    30       3.647      .00055      .57364
    31       3.897      .00036      .57400
    32       4.397      .00007      .57407
    33       4.897      .00001      .57408
    34      20.881      .00003      .57411
    35      21.881      .00021      .57432
    36      22.881      .00109      .57541
    37      23.881      .00385      .57926
    38      24.881      .00973      .58899
    39      25.881      .01833      .60732
    40      26.881      .02671      .63403
    41      27.881      .03093      .66496
    42      28.881      .02913      .69409
    43      29.881      .02276      .71685
    44      30.881      .01503      .73188
    45      31.881      .00882      .74070
    46      32.881      .00727      .74797
    47      33.881      .01389      .76186
    48      34.881      .02175      .78361
    49      35.881      .02086      .80447
    50      36.881      .01310      .81757
    51      37.881      .00676      .82433
    52      38.725      .00010      .82443
    53      38.881      .00416      .82859
    54      39.881      .00370      .83229
    55      40.881      .00350      .83579
    56      41.881      .00269      .83848
    57      42.732      .00965      .84813
    58      42.881      .00166      .84979
    59      43.405      .00029      .85008
    60      43.881      .00091      .85099
    61      43.963      .00372      .85471
    62      44.147      .00128      .85599
    63      44.881      .00043      .85642
    64      45.881      .00016      .85658
    65      46.881      .00004      .85662
    66      47.913      .00129      .85791
    67      50.599      .01216      .87007
    68      52.553      .00440      .87447
    69      55.109      .00065      .87512
    70      55.852      .00154      .87666
    71      57.004      .00159      .87825
    72      58.092      .00000      .87825
    73      58.592      .00001      .87826
    74      59.092      .00003      .87829
    75      59.592      .00010      .87839
    76      60.092      .00026      .87865
    77      60.592      .00058      .87923
    78      61.092      .00126      .88049
    79      61.592      .00206      .88255
    80      62.092      .00301      .88556
    81      62.592      .00377      .88933
    82      63.092      .00418      .89351
    83      63.592      .00377      .89728
    84      64.092      .00301      .90029
    85      64.386      .00003      .90032
    86      64.592      .00206      .90238
    87      64.886      .00007      .90245
    88      65.092      .00126      .90371
    89      65.386      .00023      .90394
    90      65.592      .00058      .90452
    91      65.886      .00060      .90512
    92      66.092      .00026      .90538
    93      66.386      .00133      .90671
    94      66.592      .00010      .90681
    95      66.886      .00288      .90969
    96      67.092      .00003      .90972
    97      67.386      .00471      .91443
    98      67.592      .00001      .91444
    99      67.886      .00688      .92132
   100      68.092      .00000      .92132
   101      68.386      .00863      .92995
   102      68.886      .00956      .93951
   103      69.386      .00863      .94814
   104      69.886      .00688      .95502
   105      70.386      .00471      .95973
   106      70.886      .00288      .96261
   107      71.386      .00133      .96394
   108      71.725      .00306      .96700
   109      71.886      .00060      .96760
   110      72.386      .00023      .96783
   111      72.886      .00007      .96790
   112      73.386      .00003      .96793
   113      74.820      .00245      .97038
   114      76.169      .00088      .97126
   115      76.868      .00100      .97226
   116      77.221      .00273      .97499
   117      79.427      .00020      .97519
   118      80.865      .00238      .97757
   119      81.965      .00137      .97894
   120      83.429      .00151      .98045
   121      84.170      .00212      .98257
   122      84.218      .00112      .98369
   123      86.123      .00014      .98383
   124      87.374      .00010      .98393
   125      88.259      .00009      .98402
   126      88.876      .00013      .98415
   127      89.871      .00026      .98441
   128      90.690      .00023      .98464
   129      91.784      .00052      .98516
