           ip   Enode(ip)                   de(ip)
          71    18560.900000000000000       13.100001907350820
          72    18559.900000000000000       14.100001907350820
          73    18558.900000000000000       15.100001907350820
          74    18557.900000000000000       16.100001907350820
          75    18556.900000000000000       17.100001907350820
          76    18555.900000000000000       18.100001907350820
          77    18554.900000000000000       19.100001907350820
          78    18553.900000000000000       20.100001907350820
          79    18552.900000000000000       21.100001907350820
          80    18551.900000000000000       22.100001907350820
          81    18550.900000000000000       23.100001907350820
          82    18549.900000000000000       24.100001907350820
          83    18548.900000000000000       25.100001907350820
          84    18547.900000000000000       26.100001907350820
          85    18546.900000000000000       27.100001907350820
          86    18545.900000000000000       28.100001907350820
          87    18544.900000000000000       29.100001907350820
          88    18543.900000000000000       30.100001907350820
          89    18542.900000000000000       31.100001907350820
          90    18541.900000000000000       32.100001907350820
          91    18540.900000000000000       33.100001907350820
          92    18539.900000000000000       34.100001907350820
          93    18538.900000000000000       35.100001907350820
          94    18537.900000000000000       36.100001907350820
          95    18536.900000000000000       37.100001907350820
          96    18535.900000000000000       38.100001907350820
          97    18534.900000000000000       39.100001907350820
          98    18533.900000000000000       40.100001907350820
          99    18532.900000000000000       41.100001907350820
         100    18531.900000000000000       42.100001907350820
         101    18530.900000000000000       43.100001907350820
         102    18529.900000000000000       44.100001907350820
         103    18528.900000000000000       45.100001907350820
         104    18527.900000000000000       46.100001907350820
         105    18526.900000000000000       47.100001907350820
         106    18525.900000000000000       48.100001907350820
         107    18524.900000000000000       49.100001907350820
         108    18523.900000000000000       50.100001907350820
         109    18522.900000000000000       51.100001907350820
         110    18521.900000000000000       52.100001907350820
         111    18520.900000000000000       53.100001907350820
         112    18518.700000000000000       55.300001907351540
         113    18516.700000000000000       57.300001907351540
         114    18514.700000000000000       59.300001907351540
         115    18512.700000000000000       61.300001907351540
         116    18510.700000000000000       63.300001907351540
         117    18508.700000000000000       65.300001907351540
         118    18506.700000000000000       67.300001907351540
         119    18504.700000000000000       69.300001907351540
         120    18502.700000000000000       71.300001907351540
         121    18500.700000000000000       73.300001907351540
         122    18498.700000000000000       75.300001907351540
         123    18496.700000000000000       77.300001907351540
         124    18494.700000000000000       79.300001907351540
         125    18492.700000000000000       81.300001907351540
         126    18490.700000000000000       83.300001907351540
         127    18488.700000000000000       85.300001907351540
         128    18486.700000000000000       87.300001907351540
         129    18484.700000000000000       89.300001907351540
         130    18482.700000000000000       91.300001907351540
         131    18480.700000000000000       93.300001907351540
         132    18478.700000000000000       95.300001907351540
         133    18476.700000000000000       97.300001907351540
         134    18474.700000000000000       99.300001907351540
         135    18472.700000000000000      101.300001907351500
         136    18470.700000000000000      103.300001907351500
         137    18468.700000000000000      105.300001907351500
         138    18466.700000000000000      107.300001907351500
         139    18464.700000000000000      109.300001907351500
         140    18462.700000000000000      111.300001907351500
         141    18460.700000000000000      113.300001907351500
         142    18458.700000000000000      115.300001907351500
         143    18456.700000000000000      117.300001907351500
         144    18454.700000000000000      119.300001907351500
         145    18452.700000000000000      121.300001907351500
         146    18450.700000000000000      123.300001907351500
         147    18448.700000000000000      125.300001907351500
         148    18446.700000000000000      127.300001907351500
         149    18444.700000000000000      129.300001907351500
         150    18442.700000000000000      131.300001907351500
         151    18440.700000000000000      133.300001907351500
          im       mnu2(im)
           1       -4.000000000000000
           2       -3.800000000000000
           3       -3.600000000000000
           4       -3.400000000000000
           5       -3.200000000000000
           6       -3.000000000000000
           7       -2.800000000000000
           8       -2.600000000000000
           9       -2.400000000000000
          10       -2.200000000000000
          11       -2.000000000000000
          12       -1.800000000000000
          13       -1.600000000000000
          14       -1.400000000000000
          15       -1.200000000000000
          16       -1.000000000000000
          17  -9.500000000000001E-001
          18  -9.000000000000000E-001
          19  -8.500000000000001E-001
          20  -8.000000000000000E-001
          21  -7.500000000000000E-001
          22  -7.000000000000001E-001
          23  -6.500000000000000E-001
          24  -6.000000000000001E-001
          25  -5.500000000000000E-001
          26  -5.000000000000000E-001
          27  -4.500000000000000E-001
          28  -4.000000000000000E-001
          29  -3.500000000000000E-001
          30  -3.000000000000000E-001
          31  -2.500000000000000E-001
          32  -2.000000000000000E-001
          33  -1.500000000000000E-001
          34  -1.000000000000000E-001
          35  -5.000000000000000E-002
          36   0.000000000000000E+000
          37   5.000000000000000E-002
          38   1.000000000000000E-001
          39   1.500000000000000E-001
          40   2.000000000000000E-001
          41   2.500000000000000E-001
          42   3.000000000000000E-001
          43   3.500000000000000E-001
          44   4.000000000000000E-001
          45   4.500000000000000E-001
          46   5.000000000000000E-001
          47   5.500000000000000E-001
          48   6.000000000000001E-001
          49   6.500000000000000E-001
          50   7.000000000000001E-001
          51   7.500000000000000E-001
          52   8.000000000000000E-001
          53   8.500000000000001E-001
          54   9.000000000000000E-001
          55   9.500000000000001E-001
          56        1.000000000000000
          57        1.200000000000000
          58        1.400000000000000
          59        1.600000000000000
          60        1.800000000000000
          61        2.000000000000000
          62        2.200000000000000
          63        2.400000000000000
          64        2.600000000000000
          65        2.800000000000000
          66        3.000000000000000
          67        3.200000000000000
          68        3.400000000000000
          69        3.600000000000000
          70        3.800000000000000
          71        4.000000000000000
          72        4.500000000000000
          73        5.000000000000000
          74        5.500000000000000
          75        6.000000000000000
          76        6.500000000000000
          77        7.000000000000000
          78        7.500000000000000
          79        8.000000000000000
          80        8.500000000000000
          81        9.000000000000000
          82        9.500000000000000
          83       10.000000000000000
          84       10.500000000000000
          85       11.000000000000000
          86       11.500000000000000
          87       12.000000000000000
          88       12.500000000000000
          89       13.000000000000000
          90       13.500000000000000
          91       14.000000000000000
          92       14.500000000000000
          93       15.000000000000000
          94       15.500000000000000
          95       16.000000000000000
          96       16.500000000000000
          97       17.000000000000000
          98       17.500000000000000
          99       18.000000000000000
         100       18.500000000000000
         101       19.000000000000000
         102       19.500000000000000
         103       20.000000000000000
         104       20.500000000000000
         105       21.000000000000000
         106       21.500000000000000
         107       22.000000000000000
         108       22.500000000000000
         109       23.000000000000000
         110       23.500000000000000
